"","Idents.obj."
"mBC-0716-1_B1,F11","L6 CT CTX a"
"mBC-0716-1_B1,G3","L6 IT CTX"
"mBC-0716-1_B1,G8","L2/3 IT CTX c"
"mBC-0716-1_B1,H3","L4 IT CTX"
"mBC-0716-1_B1,H5","Micro"
"mBC-0716-1_B2,A3","L2/3 IT CTX c"
"mBC-0716-1_B2,C2","L2/3 IT CTX a"
"mBC-0716-1_B2,D6","L2/3 IT CTX b"
"mBC-0716-1_B2,D8","Micro"
"mBC-0716-1_B2,E10","L4 IT CTX"
"mBC-0716-1_B2,F2","L2 IT RvPP"
"mBC-0716-1_B2,F3","L5/6 NP CTX"
"mBC-0716-1_B2,G6","Unk"
"mBC-0716-1_B2,G12","ODC"
"mBC-0716-1_B2,H5","Pvalb b"
"mBC-0716-1_B2,H10","L5 IT CTX"
"mBC-0716-1_B3,A1","L6 CT CTX a"
"mBC-0716-1_B3,B8","Astro"
"mBC-0716-1_B3,B10","L4/5 IT CTX"
"mBC-0716-1_B3,B11","Unk"
"mBC-0716-1_B3,B12","L2/3 IT RSP"
"mBC-0716-1_B3,C1","L2/3 IT CTX a"
"mBC-0716-1_B3,D2","L6 CT CTX a"
"mBC-0716-1_B3,D3","L5 IT RSP"
"mBC-0716-1_B3,E1","L5 IT CTX"
"mBC-0716-1_B3,E4","L5/6 NP CTX"
"mBC-0716-1_B3,E10","L5 IT RSP"
"mBC-0716-1_B3,F3","Astro"
"mBC-0716-1_B3,F9","L2/3 IT CTX b"
"mBC-0716-1_B3,G6","Unk"
"mBC-0716-1_B3,G10","L5/6 NP CTX"
"mBC-0716-1_B3,H2","Sncg"
"mBC-0716-1_B4,A5","L4 IT CTX"
"mBC-0716-1_B4,A11","L4/5 IT CTX"
"mBC-0716-1_B4,C3","L5 IT CTX"
"mBC-0716-1_B4,D1","L4/5 IT CTX"
"mBC-0716-1_B4,D5","OPC"
"mBC-0716-1_B4,F10","Meis2"
"mBC-0716-1_B4,G9","L2/3 IT CTX b"
"mBC-0716-1_B5,B5","L2/3 IT CTX a"
"mBC-0716-1_B5,F5","L6 CT CTX a"
"mBC-0716-1_B5,F11","L2/3 IT RSP"
"mBC-0716-1_B5,G3","Sst a"
"mBC-0716-1_B5,G10","ODC"
"mBC-0716-1_B5,H2","L5/6 NP CTX"
"mBC-0716-1_B6,B4","Astro"
"mBC-0716-1_B6,D1","L4/5 IT CTX"
"mBC-0716-1_B6,D3","L2/3 IT CTX c"
"mBC-0716-1_B6,G3","L2/3 IT CTX c"
"mBC-0716-1_B6,H1","L2/3 IT RSP"
"mBC-0716-1_B6,H8","L2/3 IT CTX b"
"mBC-0716-1_B6,H10","Micro"
"mBC-0716-1_B7,B7","L2/3 IT CTX a"
"mBC-0716-1_B7,B10","L2/3 IT CTX c"
"mBC-0716-1_B7,C2","Meis2"
"mBC-0716-1_B7,C3","Unk"
"mBC-0716-1_B7,C9","L2 IT RvPP"
"mBC-0716-1_B7,D5","L2/3 IT CTX a"
"mBC-0716-1_B7,D8","L5 IT RSP"
"mBC-0716-1_B7,D12","Lamp5"
"mBC-0716-1_B7,E10","Meis2"
"mBC-0716-1_B7,E11","L2/3 IT CTX c"
"mBC-0716-1_B7,F10","Astro"
"mBC-0716-1_B7,G1","L4 IT CTX"
"mBC-0716-1_B7,G10","Pvalb b"
"mBC-0716-1_B7,G11","OPC"
"mBC-0716-1_B7,H9","L4/5 IT CTX"
"mBC-0716-1_B8,A3","OPC"
"mBC-0716-1_B8,A4","Meis2"
"mBC-0716-1_B8,A6","L6 CT CTX a"
"mBC-0716-1_B8,B4","Astro"
"mBC-0716-1_B8,D8","L2/3 IT CTX b"
"mBC-0716-1_B8,E7","Lamp5"
"mBC-0716-1_B8,E11","L6 IT CTX"
"mBC-0716-1_B8,F2","L4/5 IT CTX"
"mBC-0716-1_B8,H1","Astro"
"mBC-0716-1_B8,H5","L2/3 IT CTX a"
"mBC-0716-1_B8,H6","Meis2"
"mBC-0716-1_B8,H7","L5 IT RSP"
"mBC-0716-1_B8,H9","L2/3 IT CTX a"
"mBC-0716-1_B8,H10","L2/3 IT CTX a"
"mBC-0716-1_B9,A11","L2/3 IT RSP"
"mBC-0716-1_B9,B12","Meis2"
"mBC-0716-1_B9,C8","L5 IT CTX"
"mBC-0716-1_B9,C10","L2 IT RvPP"
"mBC-0716-1_B9,D6","Astro"
"mBC-0716-1_B9,D8","L2/3 IT CTX b"
"mBC-0716-1_B9,E3","Meis2"
"mBC-0716-1_B9,E5","L5 IT CTX"
"mBC-0716-1_B9,F2","L5/6 NP CTX"
"mBC-0716-1_B9,G11","L2/3 IT CTX c"
"mBC-0716-1_B9,H5","L2/3 IT CTX c"
"mBC-0716-1_B10,C1","L2/3 IT CTX c"
"mBC-0716-1_B10,C9","Astro"
"mBC-0716-1_B10,D7","L6 CT CTX b"
"mBC-0716-1_B10,D12","L5/6 NP CTX"
"mBC-0716-1_B10,E8","L4/5 IT CTX"
"mBC-0716-1_B10,F3","L5 IT RSP"
"mBC-0716-1_B10,G6","Unk"
"mBC-0716-1_B10,G8","Pvalb a"
"mBC-0716-1_B10,H1","L5 IT CTX"
"mBC-0716-1_B11,A3","L5 IT CTX"
"mBC-0716-1_B11,A6","L5/6 NP CTX"
"mBC-0716-1_B11,A12","Micro"
"mBC-0716-1_B11,B10","ODC"
"mBC-0716-1_B11,C10","L5 IT CTX"
"mBC-0716-1_B11,D2","Sncg"
"mBC-0716-1_B11,F4","L4/5 IT CTX"
"mBC-0716-1_B11,F7","L2/3 IT CTX c"
"mBC-0716-1_B11,F9","Astro"
"mBC-0716-1_B11,G1","L2/3 IT CTX a"
"mBC-0716-1_B11,G6","Unk"
"mBC-0716-1_B12,A1","L2/3 IT CTX c"
"mBC-0716-1_B12,A5","Pvalb a"
"mBC-0716-1_B12,A6","Astro"
"mBC-0716-1_B12,A7","Astro"
"mBC-0716-1_B12,A8","L5 IT CTX"
"mBC-0716-1_B12,A12","Sst b"
"mBC-0716-1_B12,B5","OPC"
"mBC-0716-1_B12,C10","L2/3 IT RSP"
"mBC-0716-1_B12,C12","L2/3 IT CTX c"
"mBC-0716-1_B12,D3","Lamp5"
"mBC-0716-1_B12,D10","Vip"
"mBC-0716-1_B12,E3","L2/3 IT CTX c"
"mBC-0716-1_B12,E4","ODC"
"mBC-0716-1_B12,E10","ODC"
"mBC-0716-1_B12,G2","Unk"
"mBC-0716-1_B12,H3","Sst a"
"mBC-0716-1_C1,A1","L5 IT CTX"
"mBC-0716-1_C1,A3","Vip"
"mBC-0716-1_C1,C3","ODC"
"mBC-0716-1_C1,D6","L5/6 NP CTX"
"mBC-0716-1_C1,D12","Micro"
"mBC-0716-1_C1,E7","L6 IT CTX"
"mBC-0716-1_C1,F2","Sncg"
"mBC-0716-1_C1,F3","L2/3 IT CTX b"
"mBC-0716-1_C1,F4","Pvalb b"
"mBC-0716-1_C1,F6","L4 IT CTX"
"mBC-0716-1_C1,F8","L5 IT CTX"
"mBC-0716-1_C1,F9","L2/3 IT CTX a"
"mBC-0716-1_C1,F10","L5 IT CTX"
"mBC-0716-1_C1,G7","L2/3 IT CTX a"
"mBC-0716-1_C1,H3","L2/3 IT CTX c"
"mBC-0716-1_C1,H5","OPC"
"mBC-0716-1_C2,B3","Lamp5"
"mBC-0716-1_C2,B12","Sst a"
"mBC-0716-1_C2,C3","L6 CT CTX a"
"mBC-0716-1_C2,C5","Lamp5"
"mBC-0716-1_C2,D6","Sncg"
"mBC-0716-1_C2,D12","L2/3 IT CTX b"
"mBC-0716-1_C2,E2","L6 IT CTX"
"mBC-0716-1_C2,E3","ODC"
"mBC-0716-1_C2,E5","L6 CT CTX a"
"mBC-0716-1_C2,F3","Lamp5"
"mBC-0716-1_C2,F7","Sst a"
"mBC-0716-1_C2,F9","L4/5 IT CTX"
"mBC-0716-1_C3,A3","L6 CT CTX a"
"mBC-0716-1_C3,B3","L6 CT CTX a"
"mBC-0716-1_C3,C1","L5 IT CTX"
"mBC-0716-1_C3,C7","Unk"
"mBC-0716-1_C3,C9","L2/3 IT CTX c"
"mBC-0716-1_C3,D6","L5 IT RSP"
"mBC-0716-1_C3,D8","L2/3 IT CTX b"
"mBC-0716-1_C3,E7","Astro"
"mBC-0716-1_C3,F8","L4/5 IT CTX"
"mBC-0716-1_C3,F12","Unk"
"mBC-0716-1_C3,G3","L6 CT CTX b"
"mBC-0716-1_C3,G11","L6 IT CTX"
"mBC-0716-1_C3,H1","L4/5 IT CTX"
"mBC-0716-1_C4,A7","L2/3 IT RSP"
"mBC-0716-1_C4,B11","L2/3 IT CTX c"
"mBC-0716-1_C4,D4","OPC"
"mBC-0716-1_C4,D6","L5 IT CTX"
"mBC-0716-1_C4,D10","Astro"
"mBC-0716-1_C4,E3","L6 CT CTX a"
"mBC-0716-1_C4,G1","OPC"
