"","Idents.obj."
"mBC-0716-1_H4,A5","L5 IT RSP"
"mBC-0716-1_H4,C9","Pvalb b"
"mBC-0716-1_H4,E3","L6 CT CTX a"
"mBC-0716-1_H4,E4","L2/3 IT CTX b"
"mBC-0716-1_H5,A2","Lamp5"
"mBC-0716-1_H5,A4","Sst a"
"mBC-0716-1_H5,B3","L6 IT CTX"
"mBC-0716-1_H5,F5","Pvalb b"
"mBC-0716-1_H5,G11","L4/5 IT CTX"
"mBC-0716-1_H6,A10","Astro"
"mBC-0716-1_H6,A12","L5/6 NP CTX"
"mBC-0716-1_H6,B10","Vip"
"mBC-0716-1_H6,B11","Unk"
"mBC-0716-1_H6,C10","OPC"
"mBC-0716-1_H6,D6","Astro"
"mBC-0716-1_H6,E2","L6 CT CTX b"
"mBC-0716-1_H6,E4","Pvalb a"
"mBC-0716-1_H6,E6","Micro"
"mBC-0716-1_H6,E12","L2/3 IT CTX b"
"mBC-0716-1_H6,F6","L2/3 IT CTX b"
"mBC-0716-1_H6,F7","OPC"
"mBC-0716-1_H6,H8","L4 IT CTX"
"mBC-0716-1_H7,A3","Astro"
"mBC-0716-1_H7,B11","Unk"
"mBC-0716-1_H7,C3","L4/5 IT CTX"
"mBC-0716-1_H7,C4","L2/3 IT CTX c"
"mBC-0716-1_H7,C6","ODC"
"mBC-0716-1_H7,C7","Unk"
"mBC-0716-1_H7,D8","Astro"
"mBC-0716-1_H7,D11","Sst a"
"mBC-0716-1_H7,E2","Pvalb a"
"mBC-0716-1_H7,E6","L6 CT CTX b"
"mBC-0716-1_H7,E11","L5 IT RSP"
"mBC-0716-1_H7,F10","L5 IT CTX"
"mBC-0716-1_H7,G1","Vip"
"mBC-0716-1_H7,H8","L6 IT CTX"
"mBC-0716-1_H8,B2","L6 CT CTX a"
"mBC-0716-1_H8,B12","Pvalb a"
"mBC-0716-1_H8,C5","L5 IT RSP"
"mBC-0716-1_H8,D7","Micro"
"mBC-0716-1_H8,E1","L2/3 IT CTX c"
"mBC-0716-1_H8,F1","Astro"
"mBC-0716-1_H8,H6","L6 CT CTX b"
"mBC-0716-1_H9,A7","OPC"
"mBC-0716-1_H9,A11","L2/3 IT CTX b"
"mBC-0716-1_H9,B1","Astro"
"mBC-0716-1_H9,B2","L5 IT CTX"
"mBC-0716-1_H9,B4","L4/5 IT CTX"
"mBC-0716-1_H9,B8","L4/5 IT CTX"
"mBC-0716-1_H9,C12","L2/3 IT CTX a"
"mBC-0716-1_H9,D5","Astro"
"mBC-0716-1_H9,D7","Sst b"
"mBC-0716-1_H9,D10","L6 CT CTX b"
"mBC-0716-1_H9,E1","L2/3 IT CTX c"
"mBC-0716-1_H9,E12","L2/3 IT CTX b"
"mBC-0716-1_H9,F7","L6 CT CTX b"
"mBC-0716-1_H9,H7","L4/5 IT CTX"
"mBC-0716-1_H10,A5","L5 IT CTX"
"mBC-0716-1_H10,A9","Sst a"
"mBC-0716-1_H10,B8","OPC"
"mBC-0716-1_H10,B9","Unk"
"mBC-0716-1_H10,C3","L4/5 IT CTX"
"mBC-0716-1_H10,C4","Pvalb b"
"mBC-0716-1_H10,C11","L2/3 IT RSP"
"mBC-0716-1_H10,D1","OPC"
"mBC-0716-1_H10,E7","Micro"
"mBC-0716-1_H10,E11","Vip"
"mBC-0716-1_H10,G3","L2/3 IT CTX b"
"mBC-0716-1_H10,H6","L6 CT CTX a"
"mBC-0716-1_H11,B1","L2/3 IT RSP"
"mBC-0716-1_H11,B3","L2/3 IT CTX a"
"mBC-0716-1_H11,C5","L4/5 IT CTX"
"mBC-0716-1_H11,C6","L2/3 IT CTX b"
"mBC-0716-1_H11,C8","L6 CT CTX a"
"mBC-0716-1_H11,E1","L4/5 IT CTX"
"mBC-0716-1_H11,E5","L5 IT CTX"
"mBC-0716-1_H11,E6","Lamp5"
"mBC-0716-1_H11,E11","Pvalb b"
"mBC-0716-1_H11,F11","L4/5 IT CTX"
"mBC-0716-1_H11,G10","L5 IT RSP"
"mBC-0716-1_H11,H8","L5/6 NP CTX"
"mBC-0716-1_H12,A3","Astro"
"mBC-0716-1_H12,B6","L2/3 IT RSP"
"mBC-0716-1_H12,B7","L5 IT CTX"
"mBC-0716-1_H12,C11","L2/3 IT CTX c"
"mBC-0716-1_H12,D6","L4/5 IT CTX"
"mBC-0716-1_H12,D8","ODC"
"mBC-0716-1_H12,D10","Pvalb b"
"mBC-0716-1_H12,F6","L4/5 IT CTX"
"mBC-0716-1_H12,F7","L2/3 IT CTX c"
"mBC-0716-1_H12,F8","L5 IT CTX"
"mBC-0716-1_H12,F9","L5 IT RSP"
"mBC-0716-1_H12,G6","Unk"
"mBC-0716-1_H12,G9","L2/3 IT CTX a"
"mBC-0716-2_A1,A2","L2/3 IT CTX a"
"mBC-0716-2_A1,B2","L4/5 IT CTX"
"mBC-0716-2_A1,B9","Pvalb b"
"mBC-0716-2_A1,D7","L6 IT CTX"
"mBC-0716-2_A1,D8","L2/3 IT CTX c"
"mBC-0716-2_A1,E6","L4/5 IT CTX"
"mBC-0716-2_A1,E12","Astro"
"mBC-0716-2_A1,G3","L4/5 IT CTX"
"mBC-0716-2_A2,A3","Astro"
"mBC-0716-2_A2,A10","Astro"
"mBC-0716-2_A2,B6","L2/3 IT CTX c"
"mBC-0716-2_A2,B7","L4 IT CTX"
"mBC-0716-2_A2,B11","Unk"
"mBC-0716-2_A2,C1","L2/3 IT CTX b"
"mBC-0716-2_A2,C9","L6 CT CTX b"
"mBC-0716-2_A2,D1","L5 IT CTX"
"mBC-0716-2_A2,D4","L2/3 IT CTX a"
"mBC-0716-2_A2,D9","Sst b"
"mBC-0716-2_A2,F7","OPC"
"mBC-0716-2_A2,G9","Micro"
"mBC-0716-2_A2,H1","L4/5 IT CTX"
"mBC-0716-2_A2,H2","L2/3 IT CTX a"
"mBC-0716-2_A2,H3","L6 CT CTX b"
"mBC-0716-2_A2,H4","L5 IT RSP"
"mBC-0716-2_A2,H6","L2/3 IT CTX b"
"mBC-0716-2_A3,B2","Pvalb b"
"mBC-0716-2_A3,C5","L2/3 IT CTX a"
"mBC-0716-2_A3,E5","L2/3 IT CTX a"
"mBC-0716-2_A3,E7","Sst a"
"mBC-0716-2_A3,E10","L6 CT CTX b"
"mBC-0716-2_A3,E11","Pvalb a"
"mBC-0716-2_A3,F1","Sncg"
"mBC-0716-2_A3,F4","Lamp5"
"mBC-0716-2_A3,F5","L5/6 NP CTX"
"mBC-0716-2_A3,F10","ODC"
"mBC-0716-2_A3,H8","L6 IT CTX"
"mBC-0716-2_A3,H12","L5 IT RSP"
"mBC-0716-2_A4,A6","L5 IT RSP"
"mBC-0716-2_A4,A10","Unk"
"mBC-0716-2_A4,B1","L5 PT CTX"
"mBC-0716-2_A4,C4","L2/3 IT CTX b"
"mBC-0716-2_A4,D3","L5/6 NP CTX"
"mBC-0716-2_A4,D7","Micro"
"mBC-0716-2_A4,D8","L2/3 IT CTX b"
"mBC-0716-2_A4,D12","L2/3 IT CTX a"
"mBC-0716-2_A4,F7","Micro"
"mBC-0716-2_A4,F10","ODC"
"mBC-0716-2_A4,G11","L2/3 IT CTX a"
"mBC-0716-2_A4,G12","L6 IT CTX"
"mBC-0716-2_A4,H2","L2/3 IT CTX a"
"mBC-0716-2_A4,H9","L2/3 IT CTX b"
"mBC-0716-2_A4,H10","L6 IT CTX"
"mBC-0716-2_A5,B2","L2/3 IT RSP"
"mBC-0716-2_A5,B6","ODC"
"mBC-0716-2_A5,B9","L2/3 IT CTX c"
"mBC-0716-2_A5,C8","Pvalb a"
"mBC-0716-2_A5,D3","L6 IT CTX"
"mBC-0716-2_A5,E4","L6 CT CTX b"
"mBC-0716-2_A5,F3","Sncg"
"mBC-0716-2_A5,F11","Sst b"
"mBC-0716-2_A5,G3","L5 IT CTX"
"mBC-0716-2_A5,H1","L5/6 NP CTX"
"mBC-0716-2_A5,H10","Micro"
"mBC-0716-2_A6,A5","L5 IT CTX"
"mBC-0716-2_A6,A8","L2/3 IT CTX b"
"mBC-0716-2_A6,B4","L2 IT RvPP"
"mBC-0716-2_A6,B6","L2/3 IT CTX c"
"mBC-0716-2_A6,C6","L4 IT CTX"
"mBC-0716-2_A6,C9","L2/3 IT CTX c"
"mBC-0716-2_A6,C12","L6 CT CTX b"
"mBC-0716-2_A6,D3","Astro"
"mBC-0716-2_A6,D5","L5/6 NP CTX"
"mBC-0716-2_A6,E5","L6 CT CTX a"
"mBC-0716-2_A6,E6","L4/5 IT CTX"
"mBC-0716-2_A6,E12","Sst b"
"mBC-0716-2_A6,F3","ODC"
"mBC-0716-2_A6,F10","Vip"
"mBC-0716-2_A6,H4","Pvalb b"
"mBC-0716-2_A6,H6","OPC"
"mBC-0716-2_A6,H7","L2/3 IT CTX b"
"mBC-0716-2_A6,H9","L2/3 IT CTX a"
"mBC-0716-2_A7,B5","L5 IT CTX"
"mBC-0716-2_A7,B8","L4 IT CTX"
"mBC-0716-2_A7,B10","ODC"
"mBC-0716-2_A7,D2","Lamp5"
"mBC-0716-2_A7,E2","L6 CT CTX b"
"mBC-0716-2_A7,E11","L5 IT CTX"
"mBC-0716-2_A7,G2","L5 IT CTX"
"mBC-0716-2_A7,G3","Vip"
"mBC-0716-2_A7,G7","OPC"
"mBC-0716-2_A7,G9","L2 IT RvPP"
"mBC-0716-2_A7,H1","ODC"
"mBC-0716-2_A7,H3","L6 CT CTX a"
"mBC-0716-2_A7,H12","L2/3 IT CTX a"
"mBC-0716-2_A8,A1","Pvalb b"
"mBC-0716-2_A8,A5","L2/3 IT CTX b"
"mBC-0716-2_A8,A8","L5 IT CTX"
"mBC-0716-2_A8,A9","L2/3 IT CTX c"
"mBC-0716-2_A8,B8","OPC"
"mBC-0716-2_A8,B11","Unk"
"mBC-0716-2_A8,C4","L4/5 IT CTX"
"mBC-0716-2_A8,E10","L5 IT RSP"
"mBC-0716-2_A8,F5","L4 IT CTX"
"mBC-0716-2_A8,F11","Micro"
"mBC-0716-2_A8,G2","Micro"
"mBC-0716-2_A8,G3","Astro"
"mBC-0716-2_A8,H2","L2/3 IT RSP"
"mBC-0716-2_A9,A8","L6 CT CTX a"
"mBC-0716-2_A9,B2","L2 IT RvPP"
"mBC-0716-2_A9,B3","Sst a"
"mBC-0716-2_A9,C1","Astro"
"mBC-0716-2_A9,C5","L5 IT CTX"
"mBC-0716-2_A9,D10","Pvalb b"
"mBC-0716-2_A9,E3","L6 IT CTX"
"mBC-0716-2_A9,F3","VLMC"
"mBC-0716-2_A9,F7","L4/5 IT CTX"
"mBC-0716-2_A9,F9","L5 IT CTX"
"mBC-0716-2_A9,G5","L2/3 IT CTX a"
"mBC-0716-2_A9,G7","Pvalb a"
"mBC-0716-2_A10,A4","L2/3 IT CTX a"
"mBC-0716-2_A10,A11","L2/3 IT CTX b"
"mBC-0716-2_A10,B8","L2/3 IT CTX a"
"mBC-0716-2_A10,B12","L2/3 IT CTX b"
"mBC-0716-2_A10,C6","L4 IT CTX"
"mBC-0716-2_A10,F5","L5 IT CTX"
"mBC-0716-2_A10,G8","L4 IT CTX"
"mBC-0716-2_A10,G9","L5 IT RSP"
"mBC-0716-2_A11,A5","L2/3 IT RSP"
"mBC-0716-2_A11,C4","L5 IT CTX"
"mBC-0716-2_A11,C10","L2/3 IT RSP"
"mBC-0716-2_A11,D1","ODC"
"mBC-0716-2_A11,D3","OPC"
"mBC-0716-2_A11,D9","L2/3 IT CTX a"
"mBC-0716-2_A11,E1","L2/3 IT CTX a"
"mBC-0716-2_A11,E8","Lamp5"
"mBC-0716-2_A11,E11","OPC"
"mBC-0716-2_A11,F3","VLMC"
"mBC-0716-2_A11,F6","L2/3 IT CTX a"
"mBC-0716-2_A11,F12","Unk"
"mBC-0716-2_A11,G6","Meis2"
"mBC-0716-2_A11,G8","L6 CT CTX a"
"mBC-0716-2_A11,H2","L2/3 IT CTX b"
"mBC-0716-2_A11,H5","L2/3 IT CTX a"
"mBC-0716-2_A11,H6","OPC"
"mBC-0716-2_A11,H7","L2/3 IT CTX a"
"mBC-0716-2_A12,A6","L2/3 IT CTX a"
"mBC-0716-2_A12,A11","L5 IT CTX"
"mBC-0716-2_A12,B5","OPC"
"mBC-0716-2_A12,B7","L5 IT RSP"
"mBC-0716-2_A12,C3","L6 IT CTX"
"mBC-0716-2_A12,C8","Pvalb a"
"mBC-0716-2_A12,D7","L4/5 IT CTX"
"mBC-0716-2_A12,D10","L2/3 IT CTX a"
"mBC-0716-2_A12,D12","L4 IT CTX"
"mBC-0716-2_A12,E9","Micro"
"mBC-0716-2_A12,F6","Vip"
"mBC-0716-2_A12,F10","L2/3 IT CTX b"
"mBC-0716-2_A12,H1","L5 IT CTX"
"mBC-0716-2_A12,H10","L2/3 IT CTX a"
"mBC-0716-2_B1,A7","L2/3 IT RSP"
"mBC-0716-2_B1,B1","L6 IT CTX"
"mBC-0716-2_B1,B3","L2/3 IT CTX c"
"mBC-0716-2_B1,B5","Micro"
"mBC-0716-2_B1,B7","Astro"
"mBC-0716-2_B1,D4","ODC"
"mBC-0716-2_B1,D8","L2/3 IT CTX a"
"mBC-0716-2_B1,E3","L5 IT CTX"
"mBC-0716-2_B1,E9","L5 IT CTX"
"mBC-0716-2_B1,F8","Unk"
"mBC-0716-2_B1,F9","L6 CT CTX a"
"mBC-0716-2_B1,F12","Unk"
"mBC-0716-2_B1,G10","ODC"
"mBC-0716-2_B1,H3","L4/5 IT CTX"
"mBC-0716-2_B1,H10","L2/3 IT CTX a"
"mBC-0716-2_B2,A5","Astro"
"mBC-0716-2_B2,A10","L5 IT RSP"
"mBC-0716-2_B2,B2","L5 IT CTX"
"mBC-0716-2_B2,B7","L2/3 IT CTX a"
"mBC-0716-2_B2,E6","L4 IT CTX"
"mBC-0716-2_B2,E12","Pvalb a"
"mBC-0716-2_B2,F7","ODC"
"mBC-0716-2_B2,H7","L5/6 NP CTX"
"mBC-0716-2_B2,H9","L2/3 IT CTX a"
"mBC-0716-2_B3,A10","OPC"
"mBC-0716-2_B3,A11","L2 IT RvPP"
"mBC-0716-2_B3,B2","L4/5 IT CTX"
"mBC-0716-2_B3,C5","L5/6 NP CTX"
"mBC-0716-2_B3,C9","L5 IT CTX"
"mBC-0716-2_B3,C12","ODC"
"mBC-0716-2_B3,D4","L4/5 IT CTX"
"mBC-0716-2_B3,E5","Astro"
"mBC-0716-2_B3,E6","ODC"
"mBC-0716-2_B3,F3","Astro"
"mBC-0716-2_B3,F5","ODC"
"mBC-0716-2_B3,F11","L5 IT CTX"
"mBC-0716-2_B3,G3","L5 IT CTX"
"mBC-0716-2_B3,G6","Unk"
"mBC-0716-2_B3,H2","Pvalb a"
"mBC-0716-2_B3,H6","L5/6 NP CTX"
"mBC-0716-2_B4,A3","Astro"
"mBC-0716-2_B4,A10","L2/3 IT CTX c"
"mBC-0716-2_B4,B9","L2/3 IT CTX c"
"mBC-0716-2_B4,B12","L5 IT RSP"
"mBC-0716-2_B4,C7","Astro"
"mBC-0716-2_B4,D6","Lamp5"
"mBC-0716-2_B4,D7","ODC"
"mBC-0716-2_B4,D11","L6 IT CTX"
"mBC-0716-2_B4,E3","L4 IT CTX"
"mBC-0716-2_B4,H8","L2/3 IT CTX a"
"mBC-0716-2_B5,A6","ODC"
"mBC-0716-2_B5,B3","Pvalb a"
"mBC-0716-2_B5,B5","L5 IT CTX"
"mBC-0716-2_B5,B6","Lamp5"
"mBC-0716-2_B5,C1","Astro"
"mBC-0716-2_B5,F1","L5 IT CTX"
"mBC-0716-2_B5,F7","L4/5 IT CTX"
"mBC-0716-2_B5,F11","L4/5 IT CTX"
"mBC-0716-2_B5,G3","Astro"
"mBC-0716-2_B5,G12","L2/3 IT RSP"
"mBC-0716-2_B5,H2","L6 CT CTX a"
"mBC-0716-2_B5,H4","L5 IT CTX"
"mBC-0716-2_B6,A1","Sst a"
"mBC-0716-2_B6,A9","L4 IT CTX"
"mBC-0716-2_B6,B8","L6 IT CTX"
"mBC-0716-2_B6,C10","L2 IT RvPP"
"mBC-0716-2_B6,D1","Sst b"
"mBC-0716-2_B6,D5","L5 IT RSP"
"mBC-0716-2_B6,D8","VLMC"
"mBC-0716-2_B6,D9","L6 CT CTX b"
"mBC-0716-2_B6,E3","L2/3 IT CTX c"
"mBC-0716-2_B6,F2","L2/3 IT CTX a"
"mBC-0716-2_B6,G7","Vip"
"mBC-0716-2_B6,G8","L5 IT RSP"
"mBC-0716-2_B6,G10","L5 IT CTX"
"mBC-0716-2_B6,H6","L5 IT CTX"
"mBC-0716-2_B6,H7","L6 IT CTX"
"mBC-0716-2_B7,A8","L2/3 IT CTX c"
"mBC-0716-2_B7,A10","L4 IT CTX"
"mBC-0716-2_B7,B5","Astro"
"mBC-0716-2_B7,B12","Pvalb a"
"mBC-0716-2_B7,E3","L2 IT RvPP"
"mBC-0716-2_B7,F1","Micro"
"mBC-0716-2_B7,F3","L6 CT CTX a"
"mBC-0716-2_B7,F7","L2/3 IT CTX c"
"mBC-0716-2_B7,F9","L4/5 IT CTX"
"mBC-0716-2_B7,G1","Astro"
"mBC-0716-2_B7,G2","Sst a"
"mBC-0716-2_B7,G11","L2/3 IT RSP"
"mBC-0716-2_B7,H10","L5 IT CTX"
"mBC-0716-2_B8,A3","L4/5 IT CTX"
"mBC-0716-2_B8,A9","L2/3 IT CTX c"
"mBC-0716-2_B8,A11","L2/3 IT CTX b"
"mBC-0716-2_B8,B7","L4/5 IT CTX"
"mBC-0716-2_B8,C7","L2/3 IT CTX c"
"mBC-0716-2_B8,D6","L2/3 IT RSP"
"mBC-0716-2_B8,F4","L5 IT CTX"
"mBC-0716-2_B8,F11","L2/3 IT RSP"
"mBC-0716-2_B8,F12","Unk"
"mBC-0716-2_B8,G9","OPC"
"mBC-0716-2_B8,H3","L5 IT RSP"
"mBC-0716-2_B8,H7","L4 IT CTX"
"mBC-0716-2_B9,A2","Meis2"
"mBC-0716-2_B9,A10","L4 IT CTX"
"mBC-0716-2_B9,B10","Vip"
"mBC-0716-2_B9,C1","L5 IT RSP"
"mBC-0716-2_B9,D3","Astro"
"mBC-0716-2_B9,D4","L2/3 IT CTX a"
"mBC-0716-2_B9,F10","L4/5 IT CTX"
"mBC-0716-2_B9,G2","L4/5 IT CTX"
"mBC-0716-2_B10,A2","OPC"
"mBC-0716-2_B10,A4","Sst a"
"mBC-0716-2_B10,A10","Pvalb b"
"mBC-0716-2_B10,B1","Astro"
"mBC-0716-2_B10,B4","Vip"
"mBC-0716-2_B10,B8","L2/3 IT CTX a"
"mBC-0716-2_B10,B9","L4/5 IT CTX"
"mBC-0716-2_B10,C3","L6 CT CTX a"
"mBC-0716-2_B10,C9","L2/3 IT CTX b"
"mBC-0716-2_B10,E2","Astro"
"mBC-0716-2_B10,E11","Pvalb a"
"mBC-0716-2_B10,F9","ODC"
"mBC-0716-2_B10,F10","L5 IT RSP"
"mBC-0716-2_B10,F11","L4 IT CTX"
"mBC-0716-2_B10,G1","ODC"
"mBC-0716-2_B10,G2","L5 PT CTX"
"mBC-0716-2_B10,G3","Lamp5"
"mBC-0716-2_B10,G9","Astro"
"mBC-0716-2_B11,A4","L2/3 IT CTX a"
"mBC-0716-2_B11,A10","L2/3 IT CTX b"
"mBC-0716-2_B11,B3","L5 IT RSP"
"mBC-0716-2_B11,C11","L2/3 IT CTX b"
"mBC-0716-2_B11,C12","L2/3 IT CTX a"
"mBC-0716-2_B11,D4","L2/3 IT CTX b"
"mBC-0716-2_B11,D5","L6 CT CTX b"
"mBC-0716-2_B11,F4","L2 IT RvPP"
"mBC-0716-2_B11,F6","L6 CT CTX a"
"mBC-0716-2_B11,F8","L2/3 IT CTX c"
"mBC-0716-2_B11,G10","L2/3 IT CTX c"
"mBC-0716-2_B11,H12","Pvalb a"
"mBC-0716-2_B12,A2","Astro"
"mBC-0716-2_B12,A5","L5 IT CTX"
"mBC-0716-2_B12,A7","L5 IT CTX"
"mBC-0716-2_B12,A8","L5 IT RSP"
"mBC-0716-2_B12,B8","L2/3 IT CTX a"
"mBC-0716-2_B12,C6","L5/6 NP CTX"
"mBC-0716-2_B12,C7","L5 PT CTX"
"mBC-0716-2_B12,D2","Pvalb a"
"mBC-0716-2_B12,D3","Astro"
"mBC-0716-2_B12,D4","Pvalb b"
"mBC-0716-2_B12,D5","L2/3 IT RSP"
"mBC-0716-2_B12,E1","Micro"
"mBC-0716-2_B12,E2","ODC"
"mBC-0716-2_B12,F8","L5 IT CTX"
"mBC-0716-2_B12,G2","L2/3 IT CTX a"
"mBC-0716-2_B12,G12","L5 IT CTX"
"mBC-0716-2_B12,H4","Unk"
"mBC-0716-2_B12,H7","L2/3 IT RSP"
"mBC-0716-2_C1,A5","Astro"
"mBC-0716-2_C1,A7","Astro"
"mBC-0716-2_C1,B1","L2/3 IT CTX b"
"mBC-0716-2_C1,B3","L2/3 IT RSP"
"mBC-0716-2_C1,B9","L5 PT CTX"
"mBC-0716-2_C1,B12","Pvalb a"
"mBC-0716-2_C1,C11","L2/3 IT CTX a"
"mBC-0716-2_C1,D1","L5 IT RSP"
"mBC-0716-2_C1,D7","ODC"
"mBC-0716-2_C1,D9","L6 CT CTX a"
"mBC-0716-2_C1,E9","L2/3 IT CTX a"
"mBC-0716-2_C1,F10","L5 IT CTX"
"mBC-0716-2_C1,H2","L2/3 IT CTX a"
"mBC-0716-2_C1,H5","L5 IT CTX"
"mBC-0716-2_C2,A8","Sst b"
"mBC-0716-2_C2,A9","L5 IT RSP"
"mBC-0716-2_C2,A10","L4/5 IT CTX"
"mBC-0716-2_C2,A11","L4/5 IT CTX"
"mBC-0716-2_C2,D7","ODC"
"mBC-0716-2_C2,D11","L5 IT CTX"
"mBC-0716-2_C2,E12","L6 CT CTX a"
"mBC-0716-2_C2,F2","L2/3 IT CTX b"
"mBC-0716-2_C2,F8","Unk"
"mBC-0716-2_C2,G3","Pvalb a"
"mBC-0716-2_C2,G11","L2/3 IT CTX a"
"mBC-0716-2_C2,H1","Astro"
"mBC-0716-2_C2,H12","L2/3 IT CTX a"
"mBC-0716-2_C3,A3","L2/3 IT CTX c"
"mBC-0716-2_C3,A10","Astro"
"mBC-0716-2_C3,B8","L6 IT CTX"
"mBC-0716-2_C3,B12","L2/3 IT CTX a"
"mBC-0716-2_C3,E1","L4 IT CTX"
"mBC-0716-2_C3,E5","L2/3 IT CTX b"
"mBC-0716-2_C3,G12","L2 IT RvPP"
"mBC-0716-2_C3,H4","Unk"
"mBC-0716-2_C4,A1","Astro"
"mBC-0716-2_C4,A11","Micro"
"mBC-0716-2_C4,B1","Astro"
"mBC-0716-2_C4,B8","ODC"
"mBC-0716-2_C4,C1","L2/3 IT RSP"
"mBC-0716-2_C4,C7","L5 IT CTX"
"mBC-0716-2_C4,D10","Lamp5"
"mBC-0716-2_C4,D11","Sst b"
"mBC-0716-2_C4,E5","Lamp5"
"mBC-0716-2_C4,G2","Meis2"
"mBC-0716-2_C4,G9","Lamp5"
"mBC-0716-2_C4,H4","Unk"
"mBC-0716-2_C4,H6","L2/3 IT CTX a"
"mBC-0716-2_C5,A6","L6 IT CTX"
"mBC-0716-2_C5,B4","Pvalb a"
"mBC-0716-2_C5,C11","L4 IT CTX"
"mBC-0716-2_C5,C12","L2/3 IT CTX b"
"mBC-0716-2_C5,D4","ODC"
"mBC-0716-2_C5,D5","VLMC"
"mBC-0716-2_C5,F1","L6 CT CTX a"
"mBC-0716-2_C5,G1","L2 IT RvPP"
"mBC-0716-2_C5,G8","L5 IT RSP"
"mBC-0716-2_C5,H1","L5 IT CTX"
"mBC-0716-2_C5,H12","L6 CT CTX b"
"mBC-0716-2_C6,A7","L4/5 IT CTX"
"mBC-0716-2_C6,A10","Lamp5"
"mBC-0716-2_C6,A11","Micro"
"mBC-0716-2_C6,C1","L5 IT CTX"
"mBC-0716-2_C6,E3","L6 IT CTX"
"mBC-0716-2_C6,E4","L6 CT CTX a"
"mBC-0716-2_C6,E7","L4 IT CTX"
"mBC-0716-2_C6,G8","Lamp5"
"mBC-0716-2_C6,H7","Meis2"
"mBC-0716-2_C7,A2","L2/3 IT RSP"
"mBC-0716-2_C7,A5","L2 IT RvPP"
"mBC-0716-2_C7,A11","L2/3 IT CTX b"
"mBC-0716-2_C7,C3","L5 PT CTX"
"mBC-0716-2_C7,C8","Meis2"
"mBC-0716-2_C7,C9","L6 CT CTX a"
"mBC-0716-2_C7,C12","Pvalb b"
"mBC-0716-2_C7,E3","L6 CT CTX b"
"mBC-0716-2_C7,F3","L6 IT CTX"
"mBC-0716-2_C7,F4","Astro"
"mBC-0716-2_C7,F5","L5 IT RSP"
"mBC-0716-2_C7,G3","Pvalb a"
"mBC-0716-2_C7,G5","L4/5 IT CTX"
"mBC-0716-2_C7,G7","L2/3 IT CTX a"
"mBC-0716-2_C7,H6","Sst a"
"mBC-0716-2_C7,H7","L5 IT RSP"
"mBC-0716-2_C7,H10","L2/3 IT CTX b"
"mBC-0716-2_C8,A2","L2/3 IT CTX a"
"mBC-0716-2_C8,A5","L4/5 IT CTX"
"mBC-0716-2_C8,A7","ODC"
"mBC-0716-2_C8,A8","Astro"
"mBC-0716-2_C8,A10","L5 IT RSP"
"mBC-0716-2_C8,A11","Meis2"
"mBC-0716-2_C8,A12","L4/5 IT CTX"
"mBC-0716-2_C8,C10","L2/3 IT CTX c"
"mBC-0716-2_C8,D1","OPC"
"mBC-0716-2_C8,D7","Pvalb b"
"mBC-0716-2_C8,D9","L5 IT CTX"
"mBC-0716-2_C8,D11","L4/5 IT CTX"
"mBC-0716-2_C8,E4","L5/6 NP CTX"
"mBC-0716-2_C8,E7","Pvalb a"
"mBC-0716-2_C8,E10","ODC"
"mBC-0716-2_C8,F8","Pvalb b"
"mBC-0716-2_C8,F10","L2/3 IT CTX a"
"mBC-0716-2_C8,G8","L5 IT CTX"
"mBC-0716-2_C8,G9","OPC"
"mBC-0716-2_C8,G11","Unk"
"mBC-0716-2_C8,G12","OPC"
"mBC-0716-2_C8,H2","Vip"
"mBC-0716-2_C8,H9","L4 IT CTX"
"mBC-0716-2_C8,H10","L2/3 IT CTX c"
"mBC-0716-2_C9,A11","L2 IT RvPP"
"mBC-0716-2_C9,B5","Sst b"
"mBC-0716-2_C9,B8","Pvalb b"
"mBC-0716-2_C9,C9","Meis2"
"mBC-0716-2_C9,E5","VLMC"
"mBC-0716-2_C9,E10","Meis2"
"mBC-0716-2_C9,E12","Meis2"
"mBC-0716-2_C9,F5","Pvalb b"
"mBC-0716-2_C9,F11","L4 IT CTX"
"mBC-0716-2_C9,G2","Astro"
"mBC-0716-2_C9,G7","L5 IT CTX"
"mBC-0716-2_C9,G8","OPC"
"mBC-0716-2_C10,A7","L2 IT RvPP"
"mBC-0716-2_C10,A9","L5 IT RSP"
"mBC-0716-2_C10,D1","L2/3 IT CTX c"
"mBC-0716-2_C10,D3","Meis2"
"mBC-0716-2_C10,D9","L2 IT RvPP"
"mBC-0716-2_C10,F1","L2/3 IT CTX b"
"mBC-0716-2_C10,F3","Astro"
"mBC-0716-2_C10,F10","Meis2"
"mBC-0716-2_C10,H4","Unk"
"mBC-0716-2_C10,H9","L5 IT CTX"
"mBC-0716-2_C10,H10","OPC"
"mBC-0716-2_C11,A11","Astro"
"mBC-0716-2_C11,B2","L4/5 IT CTX"
"mBC-0716-2_C11,B3","L6 CT CTX a"
"mBC-0716-2_C11,B4","Vip"
"mBC-0716-2_C11,B6","L2/3 IT CTX c"
"mBC-0716-2_C11,B9","L2/3 IT CTX a"
"mBC-0716-2_C11,C7","Sst a"
"mBC-0716-2_C11,D4","Sst a"
"mBC-0716-2_C11,F8","Unk"
"mBC-0716-2_C11,G3","Pvalb a"
"mBC-0716-2_C12,A4","L5 PT CTX"
"mBC-0716-2_C12,B9","L6 IT CTX"
