,louvain,cell type
"CD-0722-2_C9,B4",8,Unk=B-NK
"CD-0722-2_C9,B5",2,Unk=2
"CD-0722-2_C9,B6",3,MPP
"CD-0722-2_C9,C3",5,Unk=5
"CD-0722-2_C9,E4",4,HSC
"CD-0722-2_C9,E10",5,Unk=5
"CD-0722-2_C9,E11",0,B-NK
"CD-0722-2_C9,E12",1,Unk=HSC
"CD-0722-2_C9,H8",4,HSC
"CD-0722-2_C10,A7",3,MPP
"CD-0722-2_C10,C10",8,Unk=B-NK
"CD-0722-2_C10,E11",1,Unk=HSC
"CD-0722-2_C10,G2",8,Unk=B-NK
"CD-0722-2_C10,G3",8,Unk=B-NK
"CD-0722-2_C11,A4",2,Unk=2
"CD-0722-2_C11,B2",5,Unk=5
"CD-0722-2_C11,C9",2,Unk=2
"CD-0722-2_C11,D8",2,Unk=2
"CD-0722-2_C11,D12",1,Unk=HSC
"CD-0722-2_C11,E3",8,Unk=B-NK
"CD-0722-2_C11,F11",1,Unk=HSC
"CD-0722-2_C12,C6",1,Unk=HSC
"CD-0722-2_C12,D3",0,B-NK
"CD-0722-2_C12,D4",2,Unk=2
"CD-0722-2_C12,F9",0,B-NK
"CD-0722-2_C12,G9",5,Unk=5
"CD-0722-2_D1,B1",3,MPP
"CD-0722-2_D1,B12",6,LMPP
"CD-0722-2_D1,E5",3,MPP
"CD-0722-2_D1,E12",1,Unk=HSC
"CD-0722-2_D1,F5",3,MPP
"CD-0722-2_D1,F8",5,Unk=5
"CD-0722-2_D1,G2",2,Unk=2
"CD-0722-2_D1,H12",1,Unk=HSC
"CD-0722-2_D2,B9",5,Unk=5
"CD-0722-2_D2,E4",0,B-NK
"CD-0722-2_D2,E10",0,B-NK
"CD-0722-2_D2,E12",5,Unk=5
"CD-0722-2_D2,G2",2,Unk=2
"CD-0722-2_D2,G8",7,MEP
"CD-0722-2_D2,H6",0,B-NK
"CD-0722-2_D3,A1",1,Unk=HSC
"CD-0722-2_D3,D7",4,HSC
"CD-0722-2_D3,E6",0,B-NK
"CD-0722-2_D3,F4",2,Unk=2
"CD-0722-2_D4,B3",0,B-NK
"CD-0722-2_D4,G12",6,LMPP
"CD-0722-2_D4,H7",5,Unk=5
"CD-0722-2_D4,H8",4,HSC
"CD-0722-2_D5,A6",4,HSC
"CD-0722-2_D5,B1",4,HSC
"CD-0722-2_D5,E6",6,LMPP
"CD-0722-2_D5,H7",9,MLP
"CD-0722-2_D6,F9",9,MLP
"CD-0722-2_D7,A5",7,MEP
"CD-0722-2_D7,C6",0,B-NK
"CD-0722-2_D7,D1",2,Unk=2
"CD-0722-2_D7,D3",1,Unk=HSC
"CD-0722-2_D7,E7",0,B-NK
"CD-0722-2_D7,F6",4,HSC
"CD-0722-2_D7,G8",6,LMPP
"CD-0722-2_D7,H1",2,Unk=2
"CD-0722-2_D8,A2",1,Unk=HSC
"CD-0722-2_D8,C9",1,Unk=HSC
"CD-0722-2_D8,F4",3,MPP
"CD-0722-2_D9,A2",0,B-NK
"CD-0722-2_D9,C5",8,Unk=B-NK
"CD-0722-2_D9,D3",2,Unk=2
"CD-0722-2_D9,D7",7,MEP
"CD-0722-2_D9,F10",1,Unk=HSC
"CD-0722-2_D10,A4",5,Unk=5
"CD-0722-2_D10,F2",4,HSC
"CD-0722-2_D10,F3",7,MEP
"CD-0722-2_D10,F7",8,Unk=B-NK
"CD-0722-2_D10,G1",0,B-NK
"CD-0722-2_D10,G5",1,Unk=HSC
"CD-0722-2_D11,B10",8,Unk=B-NK
"CD-0722-2_D11,D12",4,HSC
"CD-0722-2_D11,E6",4,HSC
"CD-0722-2_D11,F9",4,HSC
"CD-0722-2_D11,G12",0,B-NK
"CD-0722-2_D11,H12",1,Unk=HSC
"CD-0722-2_D12,E4",0,B-NK
"CD-0722-2_D12,F9",4,HSC
"CD-0722-2_D12,G6",2,Unk=2
"CD-0722-2_D12,H1",5,Unk=5
"CD-0722-2_E1,A2",7,MEP
"CD-0722-2_E1,A7",4,HSC
"CD-0722-2_E1,B1",3,MPP
"CD-0722-2_E1,D4",5,Unk=5
"CD-0722-2_E1,H5",4,HSC
"CD-0722-2_E2,A10",2,Unk=2
"CD-0722-2_E2,B9",1,Unk=HSC
"CD-0722-2_E2,E11",0,B-NK
"CD-0722-2_E2,F3",0,B-NK
"CD-0722-2_E3,B1",0,B-NK
"CD-0722-2_E3,B2",8,Unk=B-NK
"CD-0722-2_E3,B4",1,Unk=HSC
"CD-0722-2_E3,C7",2,Unk=2
"CD-0722-2_E3,D3",6,LMPP
"CD-0722-2_E3,H1",3,MPP
"CD-0722-2_E4,A2",1,Unk=HSC
"CD-0722-2_E4,C5",5,Unk=5
"CD-0722-2_E4,C10",2,Unk=2
"CD-0722-2_E4,F5",1,Unk=HSC
"CD-0722-2_E5,B10",2,Unk=2
"CD-0722-2_E5,C3",0,B-NK
"CD-0722-2_E5,D2",9,MLP
"CD-0722-2_E5,F11",4,HSC
"CD-0722-2_E5,H2",9,MLP
"CD-0722-2_E6,A3",0,B-NK
"CD-0722-2_E6,A11",1,Unk=HSC
"CD-0722-2_E6,C12",1,Unk=HSC
"CD-0722-2_E6,D6",0,B-NK
"CD-0722-2_E6,G3",3,MPP
"CD-0722-2_E7,A4",2,Unk=2
"CD-0722-2_E7,B3",0,B-NK
"CD-0722-2_E7,H1",5,Unk=5
"CD-0722-2_E8,A10",5,Unk=5
"CD-0722-2_E8,E12",1,Unk=HSC
"CD-0722-2_E8,F1",6,LMPP
"CD-0722-2_E8,F4",2,Unk=2
"CD-0722-2_E8,G9",0,B-NK
"CD-0722-2_E9,A6",1,Unk=HSC
"CD-0722-2_E9,A9",1,Unk=HSC
"CD-0722-2_E9,D8",5,Unk=5
"CD-0722-2_E9,E2",6,LMPP
"CD-0722-2_E9,E6",1,Unk=HSC
"CD-0722-2_E9,G7",4,HSC
"CD-0722-2_E10,A5",0,B-NK
"CD-0722-2_E10,E11",0,B-NK
"CD-0722-2_E10,F1",8,Unk=B-NK
"CD-0722-2_E10,F2",4,HSC
"CD-0722-2_E10,G7",0,B-NK
"CD-0722-2_E10,G8",4,HSC
"CD-0722-2_E11,B7",7,MEP
"CD-0722-2_E11,B9",5,Unk=5
"CD-0722-2_E11,F2",0,B-NK
"CD-0722-2_E11,F7",3,MPP
"CD-0722-2_E12,B5",1,Unk=HSC
"CD-0722-2_E12,B9",7,MEP
"CD-0722-2_E12,E7",0,B-NK
"CD-0722-2_E12,F2",6,LMPP
"CD-0722-2_F1,B2",6,LMPP
"CD-0722-2_F1,E4",3,MPP
"CD-0722-2_F1,H3",5,Unk=5
"CD-0722-2_F2,B4",1,Unk=HSC
"CD-0722-2_F2,B9",8,Unk=B-NK
"CD-0722-2_F2,C10",4,HSC
"CD-0722-2_F2,E9",5,Unk=5
"CD-0722-2_F2,G2",2,Unk=2
"CD-0722-2_F2,G10",5,Unk=5
"CD-0722-2_F3,A4",8,Unk=B-NK
"CD-0722-2_F3,A9",3,MPP
"CD-0722-2_F3,A12",5,Unk=5
"CD-0722-2_F3,C12",1,Unk=HSC
"CD-0722-2_F3,E8",7,MEP
"CD-0722-2_F4,A1",1,Unk=HSC
"CD-0722-2_F4,A12",4,HSC
"CD-0722-2_F4,B6",0,B-NK
"CD-0722-2_F4,G12",0,B-NK
"CD-0722-2_F4,H7",0,B-NK
"CD-0722-2_F5,A9",3,MPP
"CD-0722-2_F5,C9",8,Unk=B-NK
"CD-0722-2_F5,G9",6,LMPP
"CD-0722-2_F5,H1",2,Unk=2
"CD-0722-2_F6,A6",5,Unk=5
"CD-0722-2_F6,C9",1,Unk=HSC
"CD-0722-2_F6,D8",2,Unk=2
"CD-0722-2_F6,E2",0,B-NK
"CD-0722-2_F6,F7",3,MPP
"CD-0722-2_F6,F11",4,HSC
"CD-0722-2_F6,H3",4,HSC
"CD-0722-2_F7,C12",9,MLP
"CD-0722-2_F7,E6",7,MEP
"CD-0722-2_F7,F9",0,B-NK
"CD-0722-2_F7,H2",4,HSC
"CD-0722-2_F8,A2",2,Unk=2
"CD-0722-2_F8,B3",3,MPP
"CD-0722-2_F8,B7",4,HSC
"CD-0722-2_F8,C4",3,MPP
"CD-0722-2_F8,C8",0,B-NK
"CD-0722-2_F8,F9",3,MPP
"CD-0722-2_F8,F10",0,B-NK
"CD-0722-2_F9,A4",2,Unk=2
"CD-0722-2_F9,A5",5,Unk=5
"CD-0722-2_F9,B5",1,Unk=HSC
"CD-0722-2_F10,C2",7,MEP
"CD-0722-2_F10,E3",6,LMPP
"CD-0722-2_F10,E5",4,HSC
"CD-0722-2_F10,F10",2,Unk=2
"CD-0722-2_F11,A3",2,Unk=2
"CD-0722-2_F11,C2",5,Unk=5
"CD-0722-2_F11,C10",3,MPP
"CD-0722-2_F11,C11",3,MPP
"CD-0722-2_F11,E4",6,LMPP
"CD-0722-2_F11,E11",9,MLP
"CD-0722-2_F12,A2",3,MPP
"CD-0722-2_F12,B4",2,Unk=2
"CD-0722-2_F12,C5",6,LMPP
"CD-0722-2_F12,D8",1,Unk=HSC
"CD-0722-2_F12,F3",4,HSC
"CD-0722-2_G1,A6",7,MEP
"CD-0722-2_G1,A10",9,MLP
