,louvain,cell type
"CD-0722-4_B9,H10",7,MEP
"CD-0722-4_B10,A2",6,LMPP
"CD-0722-4_B10,A5",0,B-NK
"CD-0722-4_B10,B7",1,Unk=HSC
"CD-0722-4_B10,B8",6,LMPP
"CD-0722-4_B10,E4",1,Unk=HSC
"CD-0722-4_B10,E12",7,MEP
"CD-0722-4_B10,G5",4,HSC
"CD-0722-4_B10,H7",4,HSC
"CD-0722-4_B11,B7",4,HSC
"CD-0722-4_B11,B9",2,Unk=2
"CD-0722-4_B11,C2",1,Unk=HSC
"CD-0722-4_B11,E3",5,Unk=5
"CD-0722-4_B11,G7",9,MLP
"CD-0722-4_B11,H1",2,Unk=2
"CD-0722-4_B11,H9",0,B-NK
"CD-0722-4_B11,H10",9,MLP
"CD-0722-4_B12,A5",3,MPP
"CD-0722-4_B12,B10",2,Unk=2
"CD-0722-4_B12,E6",4,HSC
"CD-0722-4_B12,E12",1,Unk=HSC
"CD-0722-4_B12,H1",1,Unk=HSC
"CD-0722-4_C1,A3",7,MEP
"CD-0722-4_C1,B9",2,Unk=2
"CD-0722-4_C1,D9",8,Unk=B-NK
"CD-0722-4_C1,E1",4,HSC
"CD-0722-4_C1,G3",4,HSC
"CD-0722-4_C2,A6",2,Unk=2
"CD-0722-4_C2,C8",6,LMPP
"CD-0722-4_C2,D3",2,Unk=2
"CD-0722-4_C2,E12",1,Unk=HSC
"CD-0722-4_C2,F2",4,HSC
"CD-0722-4_C2,F6",4,HSC
"CD-0722-4_C3,B10",2,Unk=2
"CD-0722-4_C3,D3",1,Unk=HSC
"CD-0722-4_C3,G3",7,MEP
"CD-0722-4_C3,G10",6,LMPP
"CD-0722-4_C4,A11",5,Unk=5
"CD-0722-4_C4,C1",2,Unk=2
"CD-0722-4_C4,C4",1,Unk=HSC
"CD-0722-4_C4,E5",5,Unk=5
"CD-0722-4_C4,G11",2,Unk=2
"CD-0722-4_C4,H1",2,Unk=2
"CD-0722-4_C5,B6",5,Unk=5
"CD-0722-4_C5,E12",4,HSC
"CD-0722-4_C5,F10",9,MLP
"CD-0722-4_C5,H3",3,MPP
"CD-0722-4_C5,H7",4,HSC
"CD-0722-4_C5,H8",5,Unk=5
"CD-0722-4_C6,D4",9,MLP
"CD-0722-4_C7,A5",2,Unk=2
"CD-0722-4_C7,C12",9,MLP
"CD-0722-4_C7,D2",7,MEP
"CD-0722-4_C7,F5",0,B-NK
"CD-0722-4_C7,F7",7,MEP
"CD-0722-4_C7,F11",3,MPP
"CD-0722-4_C8,B9",2,Unk=2
"CD-0722-4_C8,D6",1,Unk=HSC
"CD-0722-4_C8,F5",9,MLP
"CD-0722-4_C8,F6",4,HSC
"CD-0722-4_C8,H2",4,HSC
"CD-0722-4_C8,H6",0,B-NK
"CD-0722-4_C9,A2",7,MEP
"CD-0722-4_C9,B1",1,Unk=HSC
"CD-0722-4_C9,C6",5,Unk=5
"CD-0722-4_C9,E9",6,LMPP
"CD-0722-4_C9,F6",4,HSC
"CD-0722-4_C9,F9",0,B-NK
"CD-0722-4_C10,D12",3,MPP
"CD-0722-4_C10,G3",0,B-NK
"CD-0722-4_C11,C1",8,Unk=B-NK
"CD-0722-4_C11,C9",4,HSC
"CD-0722-4_C11,E7",0,B-NK
"CD-0722-4_C11,G8",0,B-NK
"CD-0722-4_C12,C6",3,MPP
"CD-0722-4_C12,D9",6,LMPP
"CD-0722-4_C12,E4",5,Unk=5
"CD-0722-4_C12,E5",1,Unk=HSC
"CD-0722-4_C12,G7",4,HSC
"CD-0722-4_C12,H12",0,B-NK
"CD-0722-4_D1,D7",4,HSC
"CD-0722-4_D1,F5",3,MPP
